401000000/GASTOS DE PERSONAL/6.817.547,00/0,00/0,00/6.869.547,00/0,00/0,00/249.357,46/249.357,46/0,00/0,00/667.210,27
404040000/Equipos de transporte, traccion y elevacion/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
404050000/Equipos de comunicaciones y de señalamiento/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
404060000/Equipos medico  quirurgicos, dentales y de veterinaria/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
404090000/Maquinas, muebles y demas equipos de oficina y alojamiento/100.350,00/0,00/0,00/100.350,00/0,00/2.350,00/98.000,00/98.000,00/2.350,00/2.350,00/0,00
404110000/Inmuebles, maquinaria y equipos usados/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
404150000/Construcciones del dominio privado/108.369,00/0,00/0,00/108.369,00/0,00/0,00/108.369,00/108.369,00/0,00/0,00/0,00
404160000/Construcciones del dominio publico/108.375,00/0,00/0,00/108.375,00/0,00/0,00/108.375,00/108.375,00/0,00/0,00/0,00
404990000/Otros activos reales/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
407000000/TRANSFERENCIAS Y DONACIONES/1.143.858,00/0,00/0,00/1.143.858,00/0,00/4.667,00/1.139.191,00/1.139.191,00/4.667,00/4.667,00/0,00
407010000/Transferencias y donaciones corrientes internas/1.141.816,00/0,00/0,00/1.141.816,00/0,00/4.667,00/1.137.149,00/1.137.149,00/4.667,00/4.667,00/0,00
407030000/Transferencias y donaciones de capital internas/2.042,00/0,00/0,00/2.042,00/0,00/0,00/2.042,00/2.042,00/0,00/0,00/0,00
408000000/OTROS GASTOS/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
408080000/Indemnizaciones y sanciones pecuniarias/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
411000000/DISMINUCION DE PASIVOS/22.565,00/0,00/0,00/22.565,00/0,00/10,00/22.555,00/22.555,00/10,00/10,00/0,00
411010000/Disminucion de gastos de personal por pagar/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
411020000/Disminucion de aportes patronales y retenciones laborales por pagar/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00/0,00
411110000/Obligaciones de ejercicios economico financieros anteriores/22.555,00/0,00/0,00/22.555,00/0,00/0,00/22.555,00/22.555,00/0,00/0,00/0,00
411980000/Disminucion de otros pasivos a corto plazo/10,00/0,00/0,00/10,00/0,00/10,00/0,00/0,00/10,00/10,00/0,00
498000000/RECTIFICACIONES AL PRESUPUESTO/41.603,00/0,00/0,00/41.603,00/0,00/0,00/41.603,00/41.603,00/0,00/0,00/0,00
498010000/Rectificaciones al presupuesto/41.603,00/0,00/0,00/41.603,00/0,00/0,00/41.603,00/41.603,00/0,00/0,00/0,00
